,open,high,low,close,volume
2003-10-14 00:00:00+00:00,,,,,
2003-10-15 00:00:00+00:00,,,,,
2003-10-16 00:00:00+00:00,,,,,
2003-10-17 00:00:00+00:00,,,,,
2003-10-18 00:00:00+00:00,,,,,
2003-10-19 00:00:00+00:00,,,,,
2003-10-20 00:00:00+00:00,,,,,
2003-10-21 00:00:00+00:00,,,,,
2003-10-22 00:00:00+00:00,,,,,
2003-10-23 00:00:00+00:00,,,,,
2003-10-24 00:00:00+00:00,,,,,
2003-10-25 00:00:00+00:00,,,,,
2003-10-26 00:00:00+00:00,,,,,
2003-10-27 00:00:00+00:00,,,,,
2003-10-28 00:00:00+00:00,,,,,
2003-10-29 00:00:00+00:00,,,,,
2003-10-30 00:00:00+00:00,,,,,
2003-10-31 00:00:00+00:00,,,,,
2003-11-01 00:00:00+00:00,,,,,
2003-11-02 00:00:00+00:00,,,,,
2003-11-03 00:00:00+00:00,,,,,
2003-11-04 00:00:00+00:00,,,,,
2003-11-05 00:00:00+00:00,,,,,
2003-11-06 00:00:00+00:00,,,,,
2003-11-07 00:00:00+00:00,,,,,
2003-11-08 00:00:00+00:00,,,,,
2003-11-09 00:00:00+00:00,,,,,
2003-11-10 00:00:00+00:00,,,,,
2003-11-11 00:00:00+00:00,,,,,
2003-11-12 00:00:00+00:00,,,,,
2003-11-13 00:00:00+00:00,,,,,
2003-11-14 00:00:00+00:00,,,,,
2003-11-15 00:00:00+00:00,,,,,
2003-11-16 00:00:00+00:00,,,,,
2003-11-17 00:00:00+00:00,,,,,
2003-11-18 00:00:00+00:00,,,,,
2003-11-19 00:00:00+00:00,,,,,
2003-11-20 00:00:00+00:00,,,,,
2003-11-21 00:00:00+00:00,,,,,
2003-11-22 00:00:00+00:00,,,,,
2003-11-23 00:00:00+00:00,,,,,
2003-11-24 00:00:00+00:00,,,,,
2003-11-25 00:00:00+00:00,,,,,
2003-11-26 00:00:00+00:00,,,,,
2003-11-27 00:00:00+00:00,,,,,
2003-11-28 00:00:00+00:00,,,,,
2003-11-29 00:00:00+00:00,,,,,
2003-11-30 00:00:00+00:00,,,,,
2003-12-01 00:00:00+00:00,,,,,
2003-12-02 00:00:00+00:00,,,,,
2003-12-03 00:00:00+00:00,,,,,
2003-12-04 00:00:00+00:00,,,,,
2003-12-05 00:00:00+00:00,,,,,
2003-12-06 00:00:00+00:00,,,,,
2003-12-07 00:00:00+00:00,,,,,
2003-12-08 00:00:00+00:00,,,,,
2003-12-09 00:00:00+00:00,,,,,
2003-12-10 00:00:00+00:00,,,,,
2003-12-11 00:00:00+00:00,,,,,
2003-12-12 00:00:00+00:00,,,,,
2003-12-13 00:00:00+00:00,,,,,
2003-12-14 00:00:00+00:00,,,,,
2003-12-15 00:00:00+00:00,,,,,
2003-12-16 00:00:00+00:00,,,,,
2003-12-17 00:00:00+00:00,,,,,
2003-12-18 00:00:00+00:00,,,,,
2003-12-19 00:00:00+00:00,,,,,
2003-12-20 00:00:00+00:00,,,,,
2003-12-21 00:00:00+00:00,,,,,
2003-12-22 00:00:00+00:00,,,,,
2003-12-23 00:00:00+00:00,,,,,
2003-12-24 00:00:00+00:00,,,,,
2003-12-25 00:00:00+00:00,,,,,
2003-12-26 00:00:00+00:00,,,,,
2003-12-27 00:00:00+00:00,,,,,
2003-12-28 00:00:00+00:00,,,,,
2003-12-29 00:00:00+00:00,,,,,
2003-12-30 00:00:00+00:00,,,,,
2003-12-31 00:00:00+00:00,,,,,
2004-01-01 00:00:00+00:00,,,,,
2004-01-02 00:00:00+00:00,,,,,
2004-01-03 00:00:00+00:00,,,,,
2004-01-04 00:00:00+00:00,,,,,
2004-01-05 00:00:00+00:00,,,,,
2004-01-06 00:00:00+00:00,,,,,
2004-01-07 00:00:00+00:00,,,,,
2004-01-08 00:00:00+00:00,,,,,
2004-01-09 00:00:00+00:00,,,,,
2004-01-10 00:00:00+00:00,,,,,
2004-01-11 00:00:00+00:00,,,,,
2004-01-12 00:00:00+00:00,1.1666666666666667,1.25,1.1405555937025282,1.1547222137451172,3726450.0
2004-01-13 00:00:00+00:00,1.0775000254313152,1.0900000466240778,1.0022222730848525,1.0305555131700304,1588848.0
2004-01-14 00:00:00+00:00,1.0641667048136394,1.1099999745686848,1.023611068725586,1.1099999745686848,933222.0
2004-01-15 00:00:00+00:00,1.0936110814412434,1.163333363003201,1.081944465637207,1.1469444698757596,721722.0
2004-01-16 00:00:00+00:00,1.1522222095065646,1.2238889270358615,1.1458333333333333,1.1944444444444444,762310.0
2004-01-17 00:00:00+00:00,1.1661110983954535,1.2025000254313152,1.1463889016045465,1.1641666624281142,404514.0
2004-01-18 00:00:00+00:00,1.144166628519694,1.1577777862548828,1.096111085679796,1.1552777820163302,584446.0
2004-01-19 00:00:00+00:00,1.1666666666666667,1.173333379957411,1.1458333333333333,1.1527777777777777,216058.0
2004-01-20 00:00:00+00:00,1.1402777565850153,1.1466666327582464,1.125,1.1458333333333333,181790.0
2004-01-21 00:00:00+00:00,1.1333333121405706,1.1413888931274414,1.1116666793823242,1.1241667005750868,222398.0
2004-01-22 00:00:00+00:00,1.1466666327582464,1.1530555089314778,1.125,1.1530555089314778,175736.0
2004-01-23 00:00:00+00:00,1.1583333545260959,1.1611110899183485,1.1277777353922527,1.1375000211927626,267832.0
2004-01-24 00:00:00+00:00,1.125555568271213,1.1308333079020183,1.087416648864746,1.1094444062974718,281208.0
2004-01-25 00:00:00+00:00,1.1130555470784504,1.1216666963365343,1.0972222222222223,1.105555534362793,529038.0
2004-01-26 00:00:00+00:00,1.1430555979410808,1.1547222137451172,1.0947222179836698,1.1224999957614474,464196.0
2004-01-27 00:00:00+00:00,1.1317777633666992,1.1624999576144748,1.1177778244018555,1.1458333333333333,332106.0
2004-01-28 00:00:00+00:00,1.182222260369195,1.1911111407809787,1.1305555767483182,1.1875,468642.0
2004-01-29 00:00:00+00:00,1.1908333036634657,1.268333329094781,1.1805555555555556,1.25,572192.0
2004-01-30 00:00:00+00:00,1.25,1.2708333333333333,1.22999996609158,1.2477777269151475,328074.0
2004-01-31 00:00:00+00:00,1.2477777269151475,1.2686110602484808,1.225833363003201,1.2266666624281142,253094.0
2004-02-01 00:00:00+00:00,1.2227777904934354,1.2386111153496637,1.1813888549804688,1.1836111280653212,232374.0
2004-02-02 00:00:00+00:00,1.2005555894639757,1.2125000423855252,1.1611110899183485,1.1791666878594294,181900.0
2004-02-03 00:00:00+00:00,1.1811111238267686,1.1847222646077473,1.158611085679796,1.1713888380262587,119306.0
2004-02-04 00:00:00+00:00,1.1958333121405706,1.2319444020589192,1.1888888676961262,1.230833371480306,203578.0
2004-02-05 00:00:00+00:00,1.2430555555555556,1.2444444232516818,1.19750001695421,1.2008333206176758,158044.0
2004-02-06 00:00:00+00:00,1.202222188313802,1.224416626824273,1.1925000084771051,1.216111077202691,131152.0
2004-02-07 00:00:00+00:00,1.230555534362793,1.2469444274902344,1.2152777777777777,1.2183333502875433,146272.0
2004-02-08 00:00:00+00:00,1.2349999745686848,1.2638888888888888,1.2208333545260959,1.2461111280653212,206630.0
2004-02-09 00:00:00+00:00,1.2508332994249132,1.2580555809868708,1.2086110644870334,1.2183333502875433,191348.0
2004-02-10 00:00:00+00:00,1.2180555131700304,1.2261110941569011,1.2050000296698675,1.2222222222222223,99480.0
2004-02-11 00:00:00+00:00,1.2222222222222223,1.2241666581895616,1.1894444359673395,1.196944448682997,119702.0
2004-02-12 00:00:00+00:00,1.202222188313802,1.216388914320204,1.1789722442626953,1.196944448682997,115066.0
2004-02-13 00:00:00+00:00,1.2013888888888888,1.2055555979410808,1.1766666836208768,1.1805555555555556,162182.0
2004-02-14 00:00:00+00:00,1.2041666242811415,1.2583333121405706,1.2000000211927626,1.2536111407809787,403102.0
2004-02-15 00:00:00+00:00,1.2527777353922527,1.307777828640408,1.2522222730848525,1.288333363003201,573140.0
2004-02-16 00:00:00+00:00,1.3049999872843425,1.3066666920979817,1.2238889270358615,1.2297222349378798,353210.0
2004-02-17 00:00:00+00:00,1.2374999788072374,1.241111119588216,1.2152777777777777,1.2222222222222223,237626.0
2004-02-18 00:00:00+00:00,1.2222222222222223,1.2349999745686848,1.216388914320204,1.2286110983954535,67600.0
2004-02-19 00:00:00+00:00,1.230833371480306,1.2374999788072374,1.1947221755981445,1.2091666327582464,164790.0
2004-02-20 00:00:00+00:00,1.2108333375718858,1.2180555131700304,1.1875,1.1930555767483182,186082.0
2004-02-21 00:00:00+00:00,1.1994444529215496,1.2286110983954535,1.1938888761732314,1.2277777989705403,105032.0
2004-02-22 00:00:00+00:00,1.235555542839898,1.2444444232516818,1.2100000381469727,1.2138889100816515,194930.0
2004-02-23 00:00:00+00:00,1.2249999576144748,1.2302778032090929,1.2030555937025282,1.2219444910685222,161018.0
2004-02-24 00:00:00+00:00,1.2266666624281142,1.2288889355129666,1.2052777608235676,1.2219444910685222,175210.0
2004-02-25 00:00:00+00:00,1.2277777989705403,1.2416666878594294,1.221388922797309,1.2369444105360243,116224.0
2004-02-26 00:00:00+00:00,1.2388888465033636,1.249444431728787,1.2227777904934354,1.225833363003201,112266.0
2004-02-27 00:00:00+00:00,1.2238889270358615,1.2319444020589192,1.2088889016045465,1.211666636996799,117082.0
2004-02-28 00:00:00+00:00,1.2083333333333333,1.2180555131700304,1.1997221840752497,1.2141666412353516,81574.0
2004-02-29 00:00:00+00:00,1.2194444868299696,1.224611070421007,1.1988888846503363,1.1994444529215496,80420.0
2004-03-01 00:00:00+00:00,1.2013888888888888,1.2144444783528645,1.1947221755981445,1.2136110729641385,76306.0
2004-03-02 00:00:00+00:00,1.2152777777777777,1.230833371480306,1.19750001695421,1.2044444613986545,102202.0
2004-03-03 00:00:00+00:00,1.2044444613986545,1.2186110814412434,1.2044444613986545,1.2155555089314778,75514.0
2004-03-04 00:00:00+00:00,1.2144444783528645,1.221111085679796,1.2002777523464627,1.2055555979410808,88240.0
2004-03-05 00:00:00+00:00,1.2061110602484808,1.2488888634575739,1.2052777608235676,1.2366666793823242,151976.0
2004-03-06 00:00:00+00:00,1.25,1.2674166361490886,1.1977777481079102,1.2188889185587566,173044.0
2004-03-07 00:00:00+00:00,1.2141666412353516,1.2150000466240778,1.1802778244018555,1.1830555597941081,153726.0
2004-03-08 00:00:00+00:00,1.1833332909478083,1.1938888761732314,1.1622222264607747,1.1705555386013455,119416.0
2004-03-09 00:00:00+00:00,1.1705555386013455,1.181555536058214,1.1388888888888888,1.1475000381469727,146994.0
2004-03-10 00:00:00+00:00,1.139722188313802,1.1405555937025282,1.1097222434149847,1.1222222646077473,164514.0
2004-03-11 00:00:00+00:00,1.0930555131700304,1.0949999491373699,1.0675832960340712,1.0847222010294597,195986.0
